PLAYER_ID,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,GAME_DATE,SALARY,AGE
1630173,Precious Achiuwa,Raptors,Forward,203,102.0,Nigeria,1999-09-19,1,20,134,18.4,7.2,5.1,0.8,0.4,0.5,2022-04-23,2711280,"years=+22, months=+7, days=+5"
203500,Steven Adams,Grizzlies,Center,211,120.0,New Zealand,1993-07-20,8,12,664,26.8,9.3,8.0,1.5,0.9,0.9,2022-04-23,17073171,"years=+28, months=+9, days=+4"
1628389,Bam Adebayo,Heat,Center,206,116.0,USA,1997-07-18,4,14,343,28.2,13.5,8.3,3.5,1.0,0.9,2022-04-24,28103500,"years=+24, months=+9, days=+6"
200746,LaMarcus Aldridge,Nets,Center,211,113.0,USA,1985-07-19,15,2,1076,33.7,19.1,8.1,1.9,0.7,1.1,2022-04-23,2641691,"years=+36, months=+9, days=+5"
1629638,Nickeil Alexander-Walker,Jazz,Guard,196,93.0,Canada,1998-09-02,2,17,158,19.4,9.3,2.6,2.2,0.7,0.3,2022-04-23,3261480,"years=+23, months=+7, days=+22"
1628960,Grayson Allen,Bucks,Guard,193,90.0,USA,1995-10-08,3,21,192,21.9,9.4,2.6,1.5,0.6,0.2,2022-04-24,4054695,"years=+26, months=+6, days=+16"
1628386,Jarrett Allen,Cavaliers,Center,208,110.0,USA,1998-04-21,4,22,341,26.6,11.6,8.7,1.4,0.5,1.4,,20000000,"years=+24, days=+3"
1630631,Jose Alvarado,Pelicans,Guard,183,81.0,USA,1998-04-12,0,,54,15.4,6.1,1.9,2.8,1.3,0.1,2022-04-24,1925406,"years=+24, days=+12"
203937,Kyle Anderson,Grizzlies,Forward,206,104.0,USA,1993-09-20,7,30,505,21.0,6.7,4.4,2.3,1.0,0.6,2022-04-23,9937150,"years=+28, months=+7, days=+4"
203507,Giannis Antetokounmpo,Bucks,Forward,211,110.0,Greece,1994-12-06,8,15,656,32.6,21.8,9.4,4.6,1.2,1.3,2022-04-24,39344900,"years=+27, months=+4, days=+18"
203648,Thanasis Antetokounmpo,Bucks,Forward,198,99.0,Greece,1992-07-18,3,51,127,9.1,3.1,2.0,0.7,0.4,0.2,2022-04-24,1729217,"years=+29, months=+9, days=+6"
2546,Carmelo Anthony,Lakers,Forward,201,108.0,USA,1984-05-29,18,3,1260,34.5,22.5,6.2,2.7,1.0,0.5,,2641691,"years=+37, months=+10, days=+26"
1630175,Cole Anthony,Magic,Guard,190,84.0,USA,2000-05-15,1,15,112,29.8,14.9,5.1,5.0,0.7,0.3,,3449400,"years=+21, months=+11, days=+9"
1628384,OG Anunoby,Raptors,Forward,201,105.0,United Kingdom,1997-07-17,4,23,301,26.8,10.4,4.1,1.4,1.1,0.5,2022-04-23,16071429,"years=+24, months=+9, days=+7"
1627853,Ryan Arcidiacono,Bulls,Guard,190,88.0,USA,1994-03-26,4,,217,17.2,4.6,2.0,2.1,0.5,0.0,,774727,"years=+28, days=+29"
1630166,Deni Avdija,Wizards,Forward,206,95.0,Israel,2001-01-03,1,9,136,23.8,7.6,5.1,1.7,0.7,0.4,,4692840,"years=+21, months=+3, days=+21"
1629028,Deandre Ayton,Suns,Center,211,113.0,Bahamas,1998-07-23,3,1,236,30.7,16.3,10.5,1.6,0.7,1.0,2022-04-24,12632950,"years=+23, months=+9, days=+1"
1628962,Udoka Azubuike,Jazz,Center,213,122.0,Nigeria,1999-09-17,1,27,32,7.9,3.0,2.6,0.0,0.1,0.5,2022-04-23,2075880,"years=+22, months=+7, days=+7"
1630163,LaMelo Ball,Hornets,Guard,201,82.0,USA,2001-08-22,1,3,126,30.9,18.3,6.4,7.0,1.6,0.4,,8231760,"years=+20, months=+8, days=+2"
1628366,Lonzo Ball,Bulls,Guard,198,86.0,USA,1997-10-27,4,2,252,32.5,11.9,5.7,6.2,1.6,0.6,2022-04-24,18604651,"years=+24, months=+5, days=+28"
1628964,Mo Bamba,Magic,Center,213,105.0,USA,1998-05-12,3,6,226,18.6,7.7,6.1,0.9,0.4,1.4,,7568743,"years=+23, months=+11, days=+12"
1630217,Desmond Bane,Grizzlies,Guard,196,98.0,USA,1998-06-25,1,30,144,26.3,14.0,3.8,2.3,0.9,0.3,2022-04-23,2033160,"years=+23, months=+9, days=+30"
1630625,Dalano Banton,Raptors,Forward,201,93.0,Canada,1999-11-07,0,46,64,10.9,3.2,1.9,1.5,0.4,0.2,2022-04-23,925258,"years=+22, months=+5, days=+17"
203084,Harrison Barnes,Kings,Forward,203,102.0,USA,1992-05-30,9,7,747,31.8,14.1,5.1,1.8,0.7,0.2,,20284091,"years=+29, months=+10, days=+25"
1630567,Scottie Barnes,Raptors,Forward,201,102.0,USA,2001-08-01,0,4,74,35.4,15.3,7.5,3.5,1.1,0.7,2022-04-23,7280400,"years=+20, months=+8, days=+23"
1629628,RJ Barrett,Knicks,Forward,198,97.0,Canada,2000-06-14,2,3,198,33.5,17.5,5.6,2.9,0.8,0.3,,8623920,"years=+21, months=+10, days=+10"
203115,Will Barton,Nuggets,Guard,196,82.0,USA,1991-01-06,9,40,623,25.9,11.6,4.3,2.7,0.8,0.4,2022-04-24,15625000,"years=+31, months=+3, days=+18"
1629646,Charles Bassey,76ers,Center,206,104.0,Nigeria,2000-10-28,0,53,23,7.3,3.0,2.7,0.3,0.2,0.7,2022-04-23,925258,"years=+21, months=+5, days=+27"
1628966,Keita Bates-Diop,Spurs,Forward,203,104.0,USA,1996-01-23,3,48,163,15.0,5.2,3.0,0.6,0.5,0.3,,1729217,"years=+26, months=+3, days=+1"
201587,Nicolas Batum,Clippers,Guard,203,104.0,France,1988-12-14,13,25,915,30.6,11.1,5.1,3.5,1.0,0.6,,12026998,"years=+33, months=+4, days=+10"
203145,Kent Bazemore,Lakers,Guard,193,88.0,USA,1989-07-01,9,,657,20.6,8.2,3.2,1.8,1.0,0.5,,2401537,"years=+32, months=+9, days=+23"
1629647,Darius Bazley,Thunder,Forward,203,94.0,USA,2000-06-12,2,23,185,25.8,10.0,5.8,1.3,0.6,0.7,,2513040,"years=+21, months=+10, days=+12"
203078,Bradley Beal,Wizards,Guard,193,94.0,USA,1993-06-28,9,3,645,34.8,22.1,4.1,4.2,1.1,0.4,,33724200,"years=+28, months=+9, days=+27"
1627736,Malik Beasley,Timberwolves,Guard,193,85.0,USA,1996-11-26,5,19,336,20.9,10.4,2.5,1.2,0.6,0.1,2022-04-23,14491964,"years=+25, months=+4, days=+29"
202722,Davis Bertans,Mavericks,Forward,208,102.0,Latvia,1992-11-12,5,42,387,19.1,8.2,2.7,1.0,0.4,0.4,2022-04-23,16000000,"years=+29, months=+5, days=+12"
201976,Patrick Beverley,Timberwolves,Guard,185,82.0,USA,1988-07-12,9,42,526,27.4,8.8,4.3,3.5,1.1,0.5,2022-04-23,14320987,"years=+33, months=+9, days=+12"
1630180,Saddiq Bey,Pistons,Forward,201,98.0,USA,1999-04-09,1,19,152,30.3,14.3,5.0,2.2,0.8,0.2,,2824320,"years=+23, days=+15"
203920,Khem Birch,Raptors,Center,206,106.0,Canada,1992-09-28,4,,262,17.8,5.2,4.6,1.0,0.5,0.6,2022-04-23,6350000,"years=+29, months=+6, days=+27"
1629048,Goga Bitadze,Pacers,Center,213,113.0,Georgia,1999-07-20,2,18,149,11.8,5.0,2.9,0.8,0.3,0.9,,3098400,"years=+22, months=+9, days=+4"
202687,Bismack Biyombo,Suns,Center,203,116.0,DRC,1992-08-28,10,7,738,19.9,5.2,6.1,0.6,0.3,1.3,2022-04-24,1518213,"years=+29, months=+7, days=+27"
202357,Nemanja Bjelica,Warriors,Forward,206,106.0,Serbia,1988-05-09,6,35,449,20.4,7.6,4.6,1.8,0.6,0.4,2022-04-24,2089448,"years=+33, months=+11, days=+15"
202339,Eric Bledsoe,Trail Blazers,Guard,185,97.0,USA,1989-12-09,11,18,756,27.8,13.7,3.9,4.7,1.4,0.5,,18125000,"years=+32, months=+4, days=+15"
1629833,Keljin Blevins,Trail Blazers,Guard,193,91.0,USA,1995-11-24,1,,48,8.8,2.2,1.1,0.5,0.3,0.0,,462629,"years=+26, months=+5"
203992,Bogdan Bogdanovic,Hawks,Guard,198,102.0,Serbia,1992-08-18,4,27,316,28.6,14.2,3.4,3.4,1.0,0.2,2022-04-24,18000000,"years=+29, months=+8, days=+6"
202711,Bojan Bogdanovic,Jazz,Forward,201,103.0,Croatia,1989-04-18,7,31,603,29.1,15.0,3.6,1.6,0.6,0.1,2022-04-23,18700000,"years=+33, days=+6"
1629626,Bol Bol,Magic,Center,218,100.0,Sudan,1999-11-16,2,44,53,6.2,2.7,1.2,0.3,0.1,0.3,,2161152,"years=+22, months=+5, days=+8"
1630195,Leandro Bolmaro,Timberwolves,Forward,198,91.0,Argentina,2000-09-11,0,23,35,6.9,1.4,1.2,0.6,0.2,0.0,2022-04-23,2353320,"years=+21, months=+7, days=+13"
1629067,Isaac Bonga,Raptors,Guard,203,82.0,Germany,1999-11-08,3,39,143,13.1,3.1,2.2,0.8,0.5,0.3,2022-04-23,1729217,"years=+22, months=+5, days=+16"
1626164,Devin Booker,Suns,Guard,196,93.0,USA,1996-10-30,6,13,477,33.7,23.5,3.9,4.7,0.8,0.3,2022-04-24,31650600,"years=+25, months=+5, days=+25"
1628449,Chris Boucher,Raptors,Forward,206,91.0,Saint Lucia,1993-01-11,4,,231,17.9,9.0,5.3,0.5,0.5,1.2,2022-04-23,7020000,"years=+29, months=+3, days=+13"
1630547,James Bouknight,Hornets,Guard,193,86.0,USA,2000-09-18,0,11,31,9.8,4.6,1.7,0.8,0.2,0.0,,4154400,"years=+21, months=+7, days=+6"
202340,Avery Bradley,Lakers,Guard,190,82.0,USA,1990-11-26,11,19,660,27.5,11.0,2.8,1.7,1.0,0.2,,2641691,"years=+31, months=+4, days=+29"
