PLAYER_ID,GAME_DATE
1630173,APR 23 2022
203500,APR 23 2022
1628389,APR 24 2022
1630583,APR 23 2022
200746,APR 23 2022
1629638,APR 23 2022
1628960,APR 24 2022
1630631,APR 24 2022
203937,APR 23 2022
203507,APR 24 2022
203648,APR 24 2022
1628384,APR 23 2022
1629028,APR 24 2022
1628962,APR 23 2022
1628366,APR 24 2022
1630217,APR 23 2022
1630625,APR 23 2022
1630567,APR 23 2022
203115,APR 24 2022
1629646,APR 23 2022
1627736,APR 23 2022
202722,APR 23 2022
201976,APR 23 2022
203920,APR 23 2022
202687,APR 24 2022
202357,APR 24 2022
203992,APR 24 2022
202711,APR 23 2022
1630195,APR 23 2022
1629067,APR 23 2022
1626164,APR 24 2022
1628449,APR 23 2022
1628396,APR 24 2022
1628969,APR 24 2022
1629717,APR 23 2022
1628415,APR 23 2022
1628971,APR 23 2022
1627759,APR 23 2022
1628425,APR 23 2022
1629718,APR 23 2022
1630602,APR 24 2022
1628972,APR 24 2022
1628973,APR 23 2022
203493,APR 23 2022
203504,APR 23 2022
1630215,APR 23 2022
202710,APR 24 2022
1630267,APR 24 2022
1628427,APR 24 2022
203991,APR 24 2022
1628975,APR 24 2022
1627936,APR 24 2022
1630551,APR 23 2022
1629185,APR 24 2022
1627737,APR 23 2022
1629109,APR 24 2022
1629634,APR 23 2022
203903,APR 23 2022
1629651,APR 23 2022
1628381,APR 24 2022
201144,APR 23 2022
1626192,APR 24 2022
1629076,APR 24 2022
1630536,APR 24 2022
202326,APR 24 2022
1628470,APR 24 2022
203109,APR 24 2022
1629633,APR 23 2022
203552,APR 23 2022
201939,APR 24 2022
201942,APR 24 2022
203473,APR 24 2022
203476,APR 24 2022
203915,APR 23 2022
1629029,APR 23 2022
1630245,APR 24 2022
201609,APR 23 2022
203083,APR 23 2022
1630561,APR 23 2022
201142,APR 23 2022
1630162,APR 23 2022
1630556,APR 23 2022
203954,APR 23 2022
1627827,APR 23 2022
1630238,APR 23 2022
1630201,APR 23 2022
1627854,APR 24 2022
1630235,APR 23 2022
201568,APR 24 2022
200752,APR 23 2022
203497,APR 23 2022
203932,APR 24 2022
1628984,APR 24 2022
201980,APR 23 2022
203110,APR 24 2022
203210,APR 24 2022
1629750,APR 24 2022
201145,APR 24 2022
1630182,APR 23 2022
201933,APR 23 2022
203501,APR 23 2022
201935,APR 23 2022
1629607,APR 24 2022
203925,APR 23 2022
202699,APR 23 2022
2617,APR 24 2022
1630573,APR 23 2022
1629637,APR 24 2022
1627823,APR 23 2022
1626195,APR 24 2022
1629639,APR 24 2022
1629312,APR 24 2022
201588,APR 24 2022
1630792,APR 24 2022
1628988,APR 24 2022
201950,APR 24 2022
201143,APR 23 2022
1627863,APR 23 2022
1630210,APR 24 2022
1628989,APR 24 2022
1629631,APR 24 2022
1630538,APR 24 2022
201586,APR 24 2022
2738,APR 24 2022
1627742,APR 24 2022
202681,APR 23 2022
1628991,APR 23 2022
1630198,APR 23 2022
1629661,APR 24 2022
1630525,APR 23 2022
1630552,APR 24 2022
203999,APR 24 2022
1630529,APR 24 2022
1626145,APR 23 2022
1627884,APR 24 2022
201599,APR 23 2022
1628467,APR 23 2022
1630233,APR 23 2022
1628995,APR 24 2022
1629723,APR 23 2022
1627788,APR 23 2022
1628436,APR 23 2022
1630228,APR 24 2022
203897,APR 24 2022
1627774,APR 23 2022
1627814,APR 24 2022
1630184,APR 24 2022
1626172,APR 24 2022
201572,APR 24 2022
200768,APR 24 2022
1630994,APR 24 2022
1627789,APR 24 2022
1630572,APR 24 2022
1626246,APR 23 2022
1630230,APR 24 2022
1628997,APR 24 2022
202083,APR 24 2022
1630178,APR 23 2022
1630219,APR 24 2022
203468,APR 24 2022
1630183,APR 23 2022
201580,APR 24 2022
1629162,APR 23 2022
1629001,APR 23 2022
203114,APR 24 2022
201988,APR 23 2022
200794,APR 23 2022
1629003,APR 23 2022
1628378,APR 23 2022
202328,APR 23 2022
1630541,APR 24 2022
1629630,APR 23 2022
1629752,APR 23 2022
202693,APR 24 2022
1628420,APR 24 2022
1628539,APR 24 2022
1630530,APR 24 2022
1627750,APR 24 2022
1629004,APR 23 2022
1626204,APR 24 2022
1630174,APR 23 2022
1627777,APR 23 2022
1630192,APR 24 2022
1629669,APR 23 2022
1628373,APR 23 2022
1629670,APR 24 2022
1626220,APR 23 2022
1629006,APR 23 2022
1630168,APR 24 2022
203506,APR 24 2022
1629672,APR 23 2022
101108,APR 24 2022
1626166,APR 24 2022
203901,APR 24 2022
1627780,APR 24 2022
1629033,APR 23 2022
1630582,APR 23 2022
1629673,APR 24 2022
1629008,APR 24 2022
203490,APR 24 2022
1626171,APR 24 2022
203939,APR 23 2022
1629619,APR 23 2022
1627752,APR 23 2022
1630202,APR 23 2022
1628432,APR 24 2022
1630194,APR 23 2022
1629675,APR 23 2022
203085,APR 24 2022
1629130,APR 24 2022
1626156,APR 23 2022
1630346,APR 23 2022
203967,APR 24 2022
1629013,APR 24 2022
1630549,APR 23 2022
1627783,APR 23 2022
1627732,APR 23 2022
1630250,APR 24 2022
1630606,APR 24 2022
203935,APR 23 2022
1630270,APR 23 2022
203503,APR 24 2022
1630531,APR 23 2022
203917,APR 23 2022
1629622,APR 24 2022
1628369,APR 23 2022
202066,APR 24 2022
1630179,APR 23 2022
1628464,APR 23 2022
1630271,APR 23 2022
1630560,APR 23 2022
1629744,APR 24 2022
202691,APR 24 2022
202684,APR 24 2022
1629680,APR 23 2022
1629681,APR 23 2022
1630214,APR 23 2022
1629308,APR 24 2022
1626157,APR 23 2022
1629018,APR 23 2022
200782,APR 24 2022
1629730,APR 24 2022
202685,APR 24 2022
1627832,APR 23 2022
1629020,APR 23 2022
1630492,APR 24 2022
1629216,APR 24 2022
202696,APR 24 2022
1630688,APR 24 2022
1629139,APR 23 2022
1629683,APR 24 2022
1629632,APR 24 2022
1628401,APR 23 2022
202355,APR 23 2022
203952,APR 24 2022
1629623,APR 24 2022
1629684,APR 23 2022
101150,APR 24 2022
1630172,APR 24 2022
1630533,APR 23 2022
1629057,APR 23 2022
1629627,APR 24 2022
1630164,APR 24 2022
1626153,APR 24 2022
1630589,APR 23 2022
1630593,APR 23 2022
201152,APR 23 2022
1629027,APR 24 2022
1630209,APR 24 2022
